      Step     Time          Energy          fmax
BFGS:   27 01:58:24      -99.491208        0.000967
BFGS:   28 01:58:24      -99.491208        0.000807
BFGS:   29 01:58:25      -99.491208        0.001118
BFGS:   30 01:58:25      -99.491208        0.001026
BFGS:   31 01:58:25      -99.491208        0.000756
BFGS:   32 01:58:25      -99.491208        0.000585
BFGS:   33 01:58:25      -99.491208        0.000465
BFGS:   34 01:58:25      -99.491208        0.000360
BFGS:   35 01:58:25      -99.491208        0.000494
BFGS:   36 01:58:25      -99.491208        0.000442
BFGS:   37 01:58:25      -99.491208        0.000225
BFGS:   38 01:58:25      -99.491208        0.000140
BFGS:   39 01:58:25      -99.491208        0.000122
BFGS:   40 01:58:25      -99.491208        0.000128
BFGS:   41 01:58:26      -99.491208        0.000111
BFGS:   42 01:58:26      -99.491208        0.000096
BFGS:   43 01:58:26      -99.491208        0.000075
BFGS:   44 01:58:26      -99.491208        0.000093
BFGS:   45 01:58:26      -99.491208        0.000085
BFGS:   46 01:58:26      -99.491208        0.000049
BFGS:   47 01:58:26      -99.491208        0.000032
BFGS:   48 01:58:26      -99.491208        0.000026
BFGS:   49 01:58:26      -99.491208        0.000025
BFGS:   50 01:58:27      -99.491208        0.000026
BFGS:   51 01:58:27      -99.491208        0.000019
BFGS:   52 01:58:27      -99.491208        0.000009
      Step     Time          Energy          fmax
BFGS:    0 01:58:27      -99.379792        0.661563
BFGS:    1 01:58:27      -99.404038        0.500672
BFGS:    2 01:58:27      -99.452527        0.297160
BFGS:    3 01:58:27      -99.461915        0.280555
BFGS:    4 01:58:27      -99.481581        0.192826
BFGS:    5 01:58:27      -99.485018        0.113584
BFGS:    6 01:58:27      -99.486860        0.093542
BFGS:    7 01:58:27      -99.488335        0.072118
BFGS:    8 01:58:27      -99.489655        0.090478
BFGS:    9 01:58:28      -99.490343        0.066381
BFGS:   10 01:58:28      -99.490631        0.035248
BFGS:   11 01:58:28      -99.490801        0.029284
BFGS:   12 01:58:28      -99.490960        0.024254
BFGS:   13 01:58:28      -99.491070        0.022786
BFGS:   14 01:58:28      -99.491123        0.017096
BFGS:   15 01:58:28      -99.491149        0.010828
BFGS:   16 01:58:28      -99.491169        0.010971
BFGS:   17 01:58:28      -99.491186        0.011250
BFGS:   18 01:58:28      -99.491197        0.007031
BFGS:   19 01:58:28      -99.491201        0.003925
BFGS:   20 01:58:28      -99.491204        0.003007
BFGS:   21 01:58:28      -99.491205        0.003132
BFGS:   22 01:58:28      -99.491206        0.002300
BFGS:   23 01:58:28      -99.491207        0.001614
BFGS:   24 01:58:28      -99.491207        0.001412
BFGS:   25 01:58:29      -99.491207        0.001404
BFGS:   26 01:58:29      -99.491207        0.000978
BFGS:   27 01:58:29      -99.491208        0.000967
BFGS:   28 01:58:29      -99.491208        0.000807
BFGS:   29 01:58:29      -99.491208        0.001118
BFGS:   30 01:58:29      -99.491208        0.001026
BFGS:   31 01:58:29      -99.491208        0.000756
BFGS:   32 01:58:29      -99.491208        0.000585
BFGS:   33 01:58:29      -99.491208        0.000465
BFGS:   34 01:58:29      -99.491208        0.000360
BFGS:   35 01:58:29      -99.491208        0.000494
BFGS:   36 01:58:29      -99.491208        0.000442
BFGS:   37 01:58:29      -99.491208        0.000225
BFGS:   38 01:58:29      -99.491208        0.000140
BFGS:   39 01:58:30      -99.491208        0.000122
BFGS:   40 01:58:30      -99.491208        0.000128
BFGS:   41 01:58:30      -99.491208        0.000111
BFGS:   42 01:58:30      -99.491208        0.000096
BFGS:   43 01:58:30      -99.491208        0.000075
BFGS:   44 01:58:30      -99.491208        0.000093
BFGS:   45 01:58:30      -99.491208        0.000085
BFGS:   46 01:58:30      -99.491208        0.000049
BFGS:   47 01:58:30      -99.491208        0.000032
BFGS:   48 01:58:30      -99.491208        0.000026
BFGS:   49 01:58:30      -99.491208        0.000025
BFGS:   50 01:58:30      -99.491208        0.000026
BFGS:   51 01:58:30      -99.491208        0.000019
BFGS:   52 01:58:31      -99.491208        0.000009
      Step     Time          Energy          fmax
BFGS:    0 02:01:51      -96.420045       14.165714
BFGS:    1 02:01:53      -98.455870        3.000352
BFGS:    2 02:01:58      -98.585959        1.742796
BFGS:    3 02:02:03      -98.645171        0.759778
BFGS:    4 02:02:09      -98.667269        0.768190
BFGS:    5 02:02:14      -98.695824        0.753644
BFGS:    6 02:02:21      -98.718506        0.735524
BFGS:    7 02:02:26      -98.732838        0.593781
BFGS:    8 02:02:28      -98.741291        0.535118
BFGS:    9 02:02:32      -98.754133        0.676415
BFGS:   10 02:02:35      -98.781712        0.653510
BFGS:   11 02:02:40      -98.814543        0.504430
BFGS:   12 02:02:43      -98.834502        0.392207
BFGS:   13 02:02:46      -98.847723        0.403766
BFGS:   14 02:02:48      -98.863464        0.439514
BFGS:   15 02:02:51      -98.884668        0.419528
BFGS:   16 02:02:53      -98.905505        0.363180
BFGS:   17 02:02:56      -98.916587        0.304049
BFGS:   18 02:03:00      -98.921308        0.359895
BFGS:   19 02:03:02      -98.926334        0.332206
BFGS:   20 02:03:09      -98.931521        0.249159
BFGS:   21 02:03:12      -98.934248        0.174037
BFGS:   22 02:03:14      -98.935564        0.149852
BFGS:   23 02:03:17      -98.937203        0.179171
BFGS:   24 02:03:20      -98.939318        0.189297
BFGS:   25 02:03:23      -98.940846        0.205337
BFGS:   26 02:03:25      -98.941455        0.148621
BFGS:   27 02:03:28      -98.942007        0.114495
BFGS:   28 02:03:30      -98.942824        0.099463
BFGS:   29 02:03:33      -98.943475        0.137284
BFGS:   30 02:03:36      -98.943644        0.117026
BFGS:   31 02:03:39      -98.943606        0.076459
BFGS:   32 02:03:41      -98.943761        0.083945
BFGS:   33 02:03:44      -98.944061        0.100956
BFGS:   34 02:03:47      -98.944247        0.097560
BFGS:   35 02:03:49      -98.944223        0.069550
BFGS:   36 02:03:52      -98.944162        0.069361
BFGS:   37 02:04:36      -98.944184        0.073950
BFGS:   38 02:04:39      -98.944233        0.084988
BFGS:   39 02:04:41      -98.944227        0.074463
BFGS:   40 02:04:44      -98.944169        0.074994
BFGS:   41 02:04:47      -98.944169        0.072880
BFGS:   42 02:04:50      -98.944260        0.077057
BFGS:   43 02:04:52      -98.944352        0.079121
BFGS:   44 02:04:54      -98.944396        0.065480
BFGS:   45 02:04:56      -98.944445        0.056444
BFGS:   46 02:05:16      -98.944527        0.055667
BFGS:   47 02:05:18      -98.944598        0.053410
BFGS:   48 02:05:20      -98.944632        0.046982
BFGS:   49 02:05:22      -98.944644        0.043779
BFGS:   50 02:05:25      -98.944656        0.039291
BFGS:   51 02:05:27      -98.944670        0.036514
BFGS:   52 02:05:30      -98.944680        0.038056
