Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000        -6101.084    -6101.084        0.000     0.0
2.5000        -5958.486    -6028.809       70.323   612.7
5.0000        -5957.286    -6026.059       68.772   599.2
7.5000        -5957.753    -6028.541       70.787   616.7
10.0000       -5957.279    -6026.647       69.368   604.3
12.5000       -5956.508    -6023.195       66.687   581.0
15.0000       -5957.100    -6024.911       67.811   590.8
17.5000       -5956.404    -6024.297       67.893   591.5
20.0000       -5956.826    -6024.226       67.400   587.2
22.5000       -5957.575    -6025.146       67.570   588.7
25.0000       -5957.099    -6026.949       69.850   608.5
27.5000       -5957.045    -6026.054       69.009   601.2
30.0000       -5957.483    -6026.036       68.553   597.2
32.5000       -5956.819    -6023.768       66.948   583.3
35.0000       -5957.327    -6024.812       67.484   587.9
37.5000       -5956.632    -6025.699       69.067   601.7
40.0000       -5957.783    -6028.797       71.013   618.7
42.5000       -5957.065    -6024.648       67.583   588.8
45.0000       -5957.323    -6025.150       67.828   590.9
47.5000       -5957.961    -6028.602       70.641   615.4
50.0000       -5957.479    -6025.977       68.497   596.8
